"","Var.1","Hresult","Hresult.1","Hresult.2","Hresult.3","Hresult.4","Hresult.5","Hresult.6","Hresult.7","Hresult.8","Hresult.9","Hresult.10","Hresult.11","Hresult.12","Hresult.13"
"2","(Intercept)","-0.738 *","No test","-2.041","No test","-0.261","No test","-4.112","No test","-3.202","No test","-4.576","No test","-2.484","No test"
"130","Jobs","","","16.378 ***","No test","16.385 ***","No test","21.206 ***","No test","16.518 ***","No test","10.230","No test","23.045 ***","No test"
"162","IncDiff","","","-15.324 ***","No test","-14.987 ***","No test","-18.717 ***","No test","-14.563 ***","No test","-9.493","No test","-20.871 ***","No test"
"194","logit","","","1.034","No test","1.237","No test","1.151","No test","1.452","No test","1.443","No test","0.879","No test"
"226","ols","","","3.976","No test","4.306 *","No test","3.150","No test","4.015","No test","4.692 *","No test","3.723","No test"
"258","Stock","","","-2.592","No test","-2.384","No test","-2.305","No test","-2.417","No test","-2.474","No test","-2.290","No test"
"290","ChangeFlow","","","-300.010 ***","No test","-263.162 ***","No test","-234.357 ***","No test","-261.068 ***","No test","-200.864 ***","No test","-227.623 ***","No test"
"322","w2006","","","-3.213","No test","-3.788","No test","-1.859","No test","-2.790","No test","-3.522","No test","-2.617","No test"
"354","w2016","","","2.644","No test","2.364","No test","2.309","No test","2.394","No test","1.923","No test","2.815","No test"
"386","orig13","","","3.017","No test","3.683 *","No test","3.675 *","No test","3.532 *","No test","3.381","No test","3.829 *","No test"
"418","eeurope","","","7.150","No test","7.233","No test","9.018 *","No test","7.458","No test","6.612","No test","9.215 *","No test"
"450","allavailable","","","-4.060","No test","-3.736","No test","-5.969","No test","-4.203","No test","-4.242","No test","-6.140","No test"
"482","twowayfe","","","1.794","No test","1.766","No test","1.452","No test","1.646","No test","1.686","No test","1.899","No test"
"514","level_cyear","","","2.492","No test","2.818","No test","2.412","No test","2.878","No test","2.245","No test","2.565","No test"
"546","mlm_fe","","","87.046 ***","No test","71.190 ***","No test","48.702 ***","No test","65.790 ***","No test","56.587 ***","No test","39.689 ***","No test"
"578","gdp_ivC","","","-127.350 ***","No test","-96.073 ***","No test","-87.926 ***","No test","-105.332 ***","No test","-69.768 ***","No test","-77.693 ***","No test"
"610","anynonlin","","","-2.129","No test","-2.613","No test","-1.977","No test","-2.423","No test","-1.709","No test","-2.219","No test"
"642","belief_ipred","","","-1.505","No test","","","","","","","","","-1.999","No test"
"1158","pro_immigrant","","","","","-0.408","No test","","","","","","","-0.341","No test"
"1162","topic_ipred","","","","","","","-4.914","No test","","","","","-6.065","No test"
"1170","total_score","","","","","","","","","","","7.489","No test","","No test"
"129","(Intercept)","0.853 ***","Reject","2.391","Reject","4.805","Reject","1.414","Reject","2.216","Reject","1.955","Reject","4.287","Reject"
"675","Jobs","","","-1.024","Reject","-1.067","Reject","-0.439","Reject","-0.992","Reject","-1.030","Reject","-0.535","Reject"
"707","IncDiff","","","0.406","Reject","0.502","Reject","0.155","Reject","0.465","Reject","0.313","Reject","-0.045","Reject"
"739","logit","","","0.741","Reject","0.677","Reject","0.687","Reject","0.781","Reject","0.808","Reject","0.461","Reject"
"771","ols","","","1.202","Reject","1.566","Reject","0.835","Reject","1.130","Reject","1.454","Reject","1.331","Reject"
"803","Stock","","","-3.086 **","Reject","-2.929 **","Reject","-2.902 **","Reject","-3.036 **","Reject","-3.064 **","Reject","-2.886 **","Reject"
"835","ChangeFlow","","","-166.789 ***","Reject","-134.444 ***","Reject","-88.460 ***","Reject","-123.676 ***","Reject","-107.292 ***","Reject","-68.342 ***","Reject"
"867","w2006","","","-0.841","Reject","-1.516","Reject","-0.228","Reject","-0.799","Reject","-1.108","Reject","-0.893","Reject"
"899","w2016","","","1.168","Reject","1.231","Reject","1.316","Reject","1.208","Reject","1.078","Reject","1.249","Reject"
"931","orig13","","","1.254","Reject","1.719","Reject","1.412","Reject","1.307","Reject","1.235","Reject","1.857","Reject"
"963","eeurope","","","4.208","Reject","4.285","Reject","5.842","Reject","4.172","Reject","4.016","Reject","6.235","Reject"
"995","allavailable","","","-3.190","Reject","-2.910","Reject","-4.974","Reject","-3.191","Reject","-3.205","Reject","-5.003","Reject"
"1027","twowayfe","","","-0.183","Reject","-0.033","Reject","-0.128","Reject","-0.163","Reject","-0.089","Reject","0.092","Reject"
"1059","level_cyear","","","0.582","Reject","0.808","Reject","0.535","Reject","0.615","Reject","0.587","Reject","0.723","Reject"
"1091","mlm_fe","","","83.249 ***","Reject","67.360 ***","Reject","43.819 ***","Reject","61.579 ***","Reject","53.384 ***","Reject","34.530 ***","Reject"
"1123","gdp_ivC","","","-2.128 *","Reject","-2.091 *","Reject","-2.020 *","Reject","-2.096 *","Reject","-2.112 *","Reject","-1.951 *","Reject"
"1155","anynonlin","","","-0.263","Reject","-0.718","Reject","-0.324","Reject","-0.292","Reject","-0.202","Reject","-0.803","Reject"
"1157","belief_ipred","","","-0.053","Reject","","","","","","","","","0.068","Reject"
"1161","pro_immigrant","","","","","-0.526","Reject","","","","","","","-0.556","Reject"
"1165","topic_ipred","","","","","","","-2.589","Reject","","","","","-3.244","Reject"
"1169","stats_ipred","","","","","","","","","-0.249","Reject","","","0.895","Reject"
"1171","total_score","","","","","","","","","","","1.726","Reject","","Reject"
"1172","Observations","88","88","88","88","88","88","88","88","88","88","88","88","88","88"
"1173","R2 Nagelkerke","0.000","0.000","0.522","0.522","0.536","0.536","0.544","0.544","0.521","0.521","0.521","0.521","0.578","0.578"
"1174","Deviance","160.215","160.215","109.632","109.632","107.674","107.674","106.587","106.587","109.721","109.721","109.664","109.664","101.942","101.942"
"1175","log-Likelihood","-80.107","-80.107","-54.816","-54.816","-53.837","-53.837","-53.294","-53.294","-54.860","-54.860","-54.832","-54.832","-50.971","-50.971"
"1176","* p<0.05   ** p<0.01   *** p<0.001","","","","","","","","","","","","","",""
